snapshot_date,company,sector,open_jobs,top_skills,top_function,remote_share_pct
2026-09-01,DigitalOcean,Managed WordPress Hosting,140,Kubernetes 32.9%; Python 32.1%; Observability 31.4%; Go 27.1%; LLMs 20.7%,Engineering,0.0
2026-09-01,Newfold Digital,Managed WordPress Hosting,40,WordPress 22.5%; DNS 15.0%; Observability 15.0%; Technical Support 15.0%; Account Management 12.5%,Other,35.0
2026-09-01,GoDaddy,Managed WordPress Hosting,35,Observability 51.4%; AWS 42.9%; Python 42.9%; CI/CD 40.0%; Incident Response 28.6%,Infrastructure / SRE,0.0
2026-09-01,Pantheon,Managed WordPress Hosting,27,WordPress 92.6%; Google Cloud 40.7%; Next.js 40.7%; Python 40.7%; AWS 33.3%,Engineering,81.5
2026-09-01,Automattic,Managed WordPress Hosting,19,WooCommerce 100.0%; WordPress 100.0%; Salesforce 42.1%; WordPress VIP 42.1%; Customer Success 36.8%,Sales,5.3
2026-09-01,WP Engine,Managed WordPress Hosting,11,WordPress 100.0%; Salesforce 45.5%; AWS 18.2%; CI/CD 18.2%; Datadog 18.2%,Sales,0.0
2026-09-01,Rocket.net,Managed WordPress Hosting,3,Apache 100.0%; CDN 100.0%; Cloudflare 100.0%; DNS 100.0%; Linux 100.0%,Customer Support,100.0
2026-09-01,Pressable,Managed WordPress Hosting,2,Account Management 100.0%; HubSpot 100.0%; WooCommerce 100.0%; WordPress 100.0%,Sales,100.0
2026-09-01,Servebolt,Managed WordPress Hosting,2,Apache 100.0%; Ansible 50.0%; Bash 50.0%; CI/CD 50.0%; DNS 50.0%,Finance,0.0
2026-09-01,Kinsta,Managed WordPress Hosting,1,Product Management 100.0%; WordPress 100.0%,Design,100.0
2026-09-01,SiteGround,Managed WordPress Hosting,1,,Design,0.0
